Title,Locations,Price,Square feet area,Status,Bathrooms
2 BHK Apartment,BTM Layout 2nd Stage, 12000 ,650 ,Unfurnished,2 bathrooms
1 BHK Independent House,Kadugodi, 8700 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent House in RBI Welfare Association,7th Phase JP Nagar, 18000 ,700 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment in Shiviri Eshwari Enclave,Hebbal, 7000 ,500 ,Semi-Furnished,1 bathrooms
3 BHK Independent House,Gottigere, 15000 ,2000 ,Semi-Furnished,3 bathrooms
2 BHK Independent House,Hennur, 15000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent House in Origin Harmony Grooves,Krishnarajapura, 12000 ,900 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Malur, 6500 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Apartment in Prakruthi Prakruthi Orchids,Banashankari, 20000 ,1070 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Yelahanka, 16000 ,1000 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Akshayanagar, 33000 ,1700 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Kasturi Nagar, 17500 ,900 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment in Swaraj Homes Narasimha Nilaya,Malleswaram, 4300 ,200 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Electronic City Phase II, 8000 ,400 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Brigade 7 Gardens,Subramanyapura, 32000 ,1360 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Hebbal, 13000 ,900 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Battarahalli, 10000 ,1200 ,Furnished,2 bathrooms
2 BHK Apartment in Ozone Urbana Aqua,Devanahalli, 13500 ,937 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Mathikere, 23000 ,1500 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Sir M V Nagar, 9800 ,700 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Jayanagar, 7000 ,150 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Jayanagar, 25000 ,1200 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,Rajajinagar, 9000 ,500 ,Semi-Furnished,1 bathrooms
4 BHK Independent House,Indira Nagar, 55000 ,2000 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Banashankari, 9000 ,750 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Hennur, 8400 ,2100 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Ramamurthy Nagar, 14000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Whitefield, 15000 ,850 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Provident Sunworth,Kumbalgodu, 15000 ,1082 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,R T  Nagar, 11000 ,750 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,J. P. Nagar, 5500 ,450 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Electronics City, 20000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Villa in Prestige Augusta Golf Village,Anagalapura Near Hennur Main Road, 60000 ,2400 ,Semi-Furnished,3 bathrooms
1 BHK Independent House,Padmanabhanagar, 10000 ,425 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Vijayanagar, 18500 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,Ramamurthy Nagar, 18500 ,1500 ,Unfurnished,3 bathrooms
2 BHK Apartment,Narayanapura Hennur Main Road, 5208 ,960 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,Gottigere, 7500 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Arakere, 16000 ,1200 ,Semi-Furnished,[]
1 BHK Apartment,Varthur, 11500 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Yelahanka New Town, 14000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Banashankari, 40000 ,1690 ,Furnished,3 bathrooms
2 BHK Independent House,J. P. Nagar, 20000 ,800 ,Furnished,1 bathrooms
2 BHK Independent Floor,Singasandra, 20000 ,1220 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Bommenahalli, 7600 ,600 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Medahalli, 10000 ,500 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Somasundara Palya, 6000 ,450 ,Semi-Furnished,1 bathrooms
